Direction: Producer
Component: jdbc

| Attribute | Default | Specification |
|-----------|---------|----------------|
| dataSource |  |  |
| lazyStartProducer | false |  |
| basicPropertyBinding | false |  |
| dataSourceName |  |  |
| allowNamedParameters | true |  |
| outputClass |  |  |
| outputType | SelectList |  |
| parameters |  |  |
| readSize |  |  |
| resetAutoCommit | true |  |
| transacted | false |  |
| useGetBytesForBlob | false |  |
| useHeadersAsParameters | false |  |
| useJDBC4ColumnNameAndLabel{zwsp}Semantics | true |  |
| beanRowMapper |  |  |
| prepareStatementStrategy |  |  |
| synchronous | false |  |
