Direction: Producer
Component: activemq

| Attribute | Default | Specification |
|-----------|---------|----------------|
| brokerURL |  |  |
| clientId |  |  |
| connectionFactory |  |  |
| disableReplyTo | false |  |
| durableSubscriptionName |  |  |
| jmsMessageType |  |  |
| replyTo |  |  |
| testConnectionOnStartup | false |  |
| usePooledConnection | true |  |
| useSingleConnection | false |  |
| acknowledgementModeName | AUTO_ACKNOWLEDGE |  |
| asyncConsumer | false |  |
| autoStartup | true |  |
| cacheLevel |  |  |
| cacheLevelName | CACHE_AUTO |  |
| concurrentConsumers | 1 |  |
| maxConcurrentConsumers |  |  |
| replyToDeliveryPersistent | true |  |
| selector |  |  |
| subscriptionDurable | false |  |
| subscriptionName |  |  |
| subscriptionShared | false |  |
| acceptMessagesWhileStopping | false |  |
| allowReplyManagerQuickStop | false |  |
| defaultTaskExecutorType |  |  |
| eagerLoadingOfProperties | false |  |
| eagerPoisonBody | Poison JMS message due to ${exception.message} |  |
| exposeListenerSession | false |  |
| replyToSameDestinationAllowed | false |  |
| taskExecutor |  |  |
| deliveryDelay | -1 |  |
| deliveryMode |  |  |
| deliveryPersistent | true |  |
| explicitQosEnabled | false |  |
| formatDateHeadersToIso8601 | false |  |
| lazyStartProducer | false |  |
| preserveMessageQos | false |  |
| priority | 4 |  |
| replyToConcurrentConsumers | 1 |  |
| replyToMaxConcurrentConsumers |  |  |
| replyToOnTimeoutMaxConcurrent{zwsp}Consumers | 1 |  |
| replyToOverride |  |  |
| replyToType |  |  |
| requestTimeout | 20000 |  |
| timeToLive | -1 |  |
| allowAdditionalHeaders |  |  |
| allowNullBody | true |  |
| alwaysCopyMessage | false |  |
| correlationProperty |  |  |
| disableTimeToLive | false |  |
| forceSendOriginalMessage | false |  |
| includeSentJMSMessageID | false |  |
| replyToCacheLevelName |  |  |
| replyToDestinationSelectorName |  |  |
| streamMessageTypeEnabled | false |  |
| allowAutoWiredConnection{zwsp}Factory | true |  |
| allowAutoWiredDestination{zwsp}Resolver | true |  |
| allowSerializedHeaders | false |  |
| artemisStreamingEnabled | true |  |
| asyncStartListener | false |  |
| asyncStopListener | false |  |
| basicPropertyBinding | false |  |
| configuration |  |  |
| destinationResolver |  |  |
| errorHandler |  |  |
| exceptionListener |  |  |
| idleConsumerLimit | 1 |  |
| idleTaskExecutionLimit | 1 |  |
| includeAllJMSXProperties | false |  |
| jmsKeyFormatStrategy |  |  |
| mapJmsMessage | true |  |
| maxMessagesPerTask | -1 |  |
| messageConverter |  |  |
| messageCreatedStrategy |  |  |
| messageIdEnabled | true |  |
| messageListenerContainer{zwsp}Factory |  |  |
| messageTimestampEnabled | true |  |
| pubSubNoLocal | false |  |
| queueBrowseStrategy |  |  |
| receiveTimeout | 1000 |  |
| recoveryInterval | 5000 |  |
| requestTimeoutCheckerInterval | 1000 |  |
| transferException | false |  |
| transferExchange | false |  |
| trustAllPackages | false |  |
| useMessageIDAsCorrelationID | false |  |
| waitForProvisionCorrelationTo{zwsp}BeUpdatedCounter | 50 |  |
| waitForProvisionCorrelationTo{zwsp}BeUpdatedThreadSleepingTime | 100 |  |
| headerFilterStrategy |  |  |
| errorHandlerLoggingLevel | WARN |  |
| errorHandlerLogStackTrace | true |  |
| password |  |  |
| username |  |  |
| transacted | false |  |
| transactedInOut | false |  |
| lazyCreateTransactionManager | true |  |
| transactionManager |  |  |
| transactionName |  |  |
| transactionTimeout | -1 |  |
| destinationType | queue |  |
| destinationName |  |  |
| exceptionHandler |  |  |
| exchangePattern |  |  |
| synchronous | false |  |
